date,Stage,Tmin,Tavg,Tmax,Humidity_min,Humidity_Avg,Humidity_max,Rain,Solar R_Avg,wind_speed_Avg,ETo,Irri,WCTot,YieldPart
03/01/2010,1,5.1,9.4,13.8,59,83.2917,95,0.2,143.7396,3.3552,1.8,0,262.4,0
03/02/2010,1,6.8,10.5,14.2,51,79.1354,95,32,86.0812,11.775,2.6,0,287.7,0
03/03/2010,1,7.5,10.4,13.3,71,89.7292,96,5.4,88.051,2.1792,1.5,0,271.1,0
03/04/2010,1,4.3,10.4,16.5,61,82.1354,96,0,160.9885,2.0344,2,2,265.2,0
03/05/2010,2,7.9,9.2,10.4,90,92.6042,95,35,24.3781,5.3958,1,0,291.7,0
03/06/2010,2,5.1,6.5,8,87,91.6979,95,18.8,17.7698,10.6781,0.9,0,283.7,0
03/07/2010,2,6,8.3,10.5,80,91.0833,95,7.2,62.8135,4.6115,1.3,0,272.7,0
03/08/2010,2,2.8,6.2,9.5,52,70.7917,89,0.2,56.6229,10.7552,2.2,2,265.6,0
03/09/2010,2,0.7,5.9,11.1,29,47.2292,69,0,222.4073,18.9052,3.9,0,261,0
03/10/2010,2,2.7,8.3,13.9,24,39.3854,65,0,197.9219,10.2406,4,0,258.7,0
03/11/2010,2,-0.5,6.1,12.7,35,55.6771,86,0,208.2187,5.9042,2.7,0,257.5,0
03/12/2010,2,2.5,6,9.5,46,55.9375,67,0,141.525,11.7229,2.8,2,256.5,0
03/13/2010,2,3.7,8.1,12.4,37,54.1771,76,0,219.5562,11.3333,3.3,0,254.1,0
03/14/2010,2,4,8.4,12.8,37,56.6146,78,0,222.9542,15.6792,3.6,0,252.4,0
03/15/2010,2,4.2,10.2,16.2,25,48.375,72,0,213.3365,3.625,3,0,251.3,0
03/16/2010,2,5.6,11.6,17.6,27,43.9688,65,0,190.2719,4.026,3.3,2,250.7,0
03/17/2010,2,5.7,11.9,18.1,37,52.1146,76,0,198.5979,4.5917,3.3,0,249.7,0
03/18/2010,2,10.5,14.7,18.9,56,70.5625,82,0,118.1958,1.7083,2.3,0,249.1,0
03/19/2010,2,10.4,13.6,16.9,73,84.7292,95,8.8,50.1552,1.6396,1.9,0,255.8,0
03/20/2010,2,10.9,14.2,17.5,75,86.0312,94,5,68.2948,2.5354,2,2,260.6,0
03/21/2010,2,10,14.9,19.8,47,80.3646,96,1.4,201.5323,1.9406,2.6,0,259.3,0
03/22/2010,2,7.5,13.3,19.1,48,75.3333,95,0,225.5521,1.1865,2.5,0,257.3,0
03/23/2010,2,9,14.3,19.7,55,73.7604,92,0,163.45,1.3448,2.5,0,255.8,0
03/24/2010,2,9.4,12.2,15,61,82.0938,94,4,75.1146,4.5865,2.1,2,259.5,0
03/25/2010,2,5.5,9.1,12.6,60,82.3646,92,12.8,139.2896,9.3385,2.3,0,269.7,0
03/26/2010,2,3.6,8.5,13.4,67,82.875,95,1.8,150.9375,6.2583,2.2,0,265,0
03/27/2010,2,5.9,11.3,16.7,48,70.6354,93,0,218.1198,2.3156,2.6,0,261.5,0
03/28/2010,2,6.7,12.6,18.5,39,64.7396,84,0,234.3875,2.2635,2.9,2,260.1,0
03/29/2010,2,6.6,10.8,15,68,84.4479,95,7.2,111.1562,8.9469,2.3,0,264.8,0
03/30/2010,2,6.5,10.1,13.7,48,66.8646,84,0,171.2583,10.399,3,0,261,0
03/31/2010,2,4.5,9,13.5,54,74.7708,93,0,144.874,6.9667,2.6,0,257.9,0
04/01/2010,2,4.4,9.2,13.9,40,58.6042,81,0,233.7802,5.2542,2.9,2,256.7,0
04/02/2010,2,2.3,8.3,14.4,53,71.6458,90,0,174.6906,4.0083,2.6,0,254.5,0
04/03/2010,2,6.1,10.1,14,49,72.8854,94,0.4,172.8115,7.6833,2.8,0,252.5,0
04/04/2010,3,3.3,10,16.7,27,53.6667,85,0,270.049,5.2031,3.7,0,250,0
04/05/2010,3,7.6,13.6,19.5,25,45.8125,61,0,266.5604,6.6781,4.7,2,247.3,0
04/06/2010,3,6.9,12.6,18.3,37,56.5938,75,0,201.3969,2.8052,3.2,0,245.2,0
03/01/2011,1,4.2,8.3,12.3,30,48.7604,61,0,185.1448,11.8385,3.7,0,260.9,0
03/02/2011,1,2.8,7.7,12.5,34,52.9167,68,0,183.5719,13.0937,3.6,0,258.9,0
03/03/2011,1,3.4,7.8,12.1,33,49.9896,64,0,197.926,11.9802,3.5,0,257.4,0
03/04/2011,1,1.7,5.6,9.5,45,67.3958,85,0,153.9646,7.2719,2.2,0,256.6,0
03/05/2011,2,3.5,6.3,9.1,74,85.0625,94,8,39.8896,5.8188,1.4,0,263.1,0
03/06/2011,2,6.6,10.1,13.5,52,71.4271,94,0,139.225,5.8938,2.2,0,260.7,0
03/07/2011,2,7.1,12.1,17,39,59.8854,74,0,159.2979,5.6875,3.1,0,257.3,0
03/08/2011,2,8.1,10,11.9,51,73.3542,90,6,30.9896,8.55,2.2,0,260.8,0
03/09/2011,2,7.7,9.2,10.7,70,81.9167,93,6.4,27.4396,6.9469,1.5,0,265.6,0
03/10/2011,2,6.4,10.8,15.1,48,69.1875,83,0,151.9406,6.5969,2.7,0,261.5,0
03/11/2011,2,7.6,9.4,11.2,66,80.5938,95,6.2,33.6687,6.3917,1.6,0,265.7,0
03/12/2011,2,7.6,11.3,15.1,59,84.1771,96,8.6,108.9104,3.976,2.1,0,270.7,0
03/13/2011,2,6.5,8,9.4,81,90.0312,95,11,43.726,2.775,1.2,0,275.2,0
03/14/2011,2,7.6,8.9,10.2,86,93.4896,95,20.8,30.2271,4.8896,1.1,0,284.1,0
03/15/2011,2,5.3,9.6,13.8,37,65.9583,89,0,202.5427,7.1677,2.9,0,263.7,0
03/16/2011,2,1.7,7.9,14.2,50,74.1354,93,0,210.4458,7.3927,2.7,0,258.2,0
03/17/2011,2,5.3,12.5,19.6,43,69.7604,93,0,225.9094,1.6208,2.6,0,255.7,0
03/18/2011,2,5.9,13.8,21.7,37,61.7083,87,0,223.8177,1.7229,2.9,0,253.9,0
03/19/2011,2,10.4,16.6,22.7,28,45.2812,65,0,232.9667,4.3625,4.1,0,252.1,0
03/20/2011,2,11.7,17.6,23.6,23,38.2917,57,0,232.0052,7.0396,5.3,0,250.3,0
03/21/2011,2,6.8,13,19.2,35,50.9479,76,0,228.7865,3.9615,3.4,0,249.4,0
03/22/2011,2,8.8,12.6,16.4,33,57.1771,74,0,198.299,9.5062,4,0,248.3,0
03/23/2011,2,5.7,9.8,13.9,54,62.4479,79,0,172.199,11.8885,3,0,247.5,0
03/24/2011,2,8.5,12.8,17.1,60,77.8854,94,6.2,104.9802,6.3917,2.6,0,250.9,0
03/25/2011,2,9.6,12.2,14.8,76,89.0833,95,16.6,68.7323,3.5854,1.8,0,265.5,0
